strategies,round
9.620000000000001,51.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.620000000000001,52.0
9.61,52.0
9.61,52.0
9.61,52.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.61,53.0
9.6,53.0
9.6,53.0
9.6,53.0
9.6,53.0
9.6,53.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.6,54.0
9.59,54.0
9.59,54.0
9.59,54.0
9.59,54.0
9.59,54.0
9.59,54.0
9.59,54.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.59,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,55.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.58,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,56.0
9.57,57.0
9.57,57.0
9.57,57.0
9.57,57.0
9.57,57.0
9.57,57.0
9.57,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,57.0
9.56,58.0
9.56,58.0
9.56,58.0
9.56,58.0
9.56,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,58.0
9.55,59.0
9.55,59.0
9.55,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,59.0
9.540000000000001,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.53,60.0
9.52,60.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.52,61.0
9.51,61.0
9.51,61.0
9.51,61.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.51,62.0
9.5,62.0
9.5,62.0
9.5,62.0
9.5,62.0
9.5,62.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.5,63.0
9.49,63.0
9.49,63.0
9.49,63.0
9.49,63.0
9.49,63.0
9.49,63.0
9.49,63.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.49,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,64.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.48,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,65.0
9.47,66.0
9.47,66.0
9.47,66.0
9.47,66.0
9.47,66.0
9.47,66.0
9.47,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,66.0
9.46,67.0
9.46,67.0
9.46,67.0
9.46,67.0
9.46,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
9.450000000000001,67.0
